paymentId,creditId,amount,paymentAt,paymentAcceptedAt,period,periodsTotal
P000057,A001573,118,2024-02-08T18:00:00.000Z,2024-02-08T20:42:00.000Z,1,49
P000058,A000835,2236,2024-02-08T18:00:00.000Z,2024-02-08T21:21:00.000Z,2,49
P000059,A001526,146,2024-02-08T18:00:00.000Z,2024-02-08T21:43:00.000Z,1,17
P000060,A001851,24,2024-02-08T18:00:00.000Z,2024-02-08T18:27:00.000Z,1,43
P000061,A000723,5844,2024-02-08T18:00:00.000Z,2024-02-08T19:34:00.000Z,2,8
P000062,A001439,279,2024-02-08T18:00:00.000Z,2024-02-08T20:58:00.000Z,1,33
P000063,A001766,1048,2024-02-09T18:00:00.000Z,2024-02-09T19:52:00.000Z,1,14
P000064,A000860,84,2024-02-09T18:00:00.000Z,2024-02-09T20:56:00.000Z,2,46
P000065,A001001,1592,2024-02-10T18:00:00.000Z,2024-02-10T21:51:00.000Z,2,31
P000066,A000020,1614,2024-02-10T18:00:00.000Z,2024-02-10T20:01:00.000Z,3,15
P000067,A000479,757,2024-02-10T18:00:00.000Z,2024-02-10T21:48:00.000Z,3,47
P000068,A001549,733,2024-02-10T18:00:00.000Z,2024-02-10T19:45:00.000Z,1,47
P000069,A002400,2059,2024-02-10T18:00:00.000Z,2024-02-10T21:17:00.000Z,1,12
P000070,A001964,501,2024-02-11T18:00:00.000Z,2024-02-11T20:19:00.000Z,1,38
P000071,A001800,3933,2024-02-11T18:00:00.000Z,2024-02-11T21:35:00.000Z,1,9
P000072,A002483,67,2024-02-12T18:00:00.000Z,2024-02-12T19:37:00.000Z,1,27
P000073,A001847,352,2024-02-12T18:00:00.000Z,2024-02-12T19:06:00.000Z,1,47
P000074,A002377,660,2024-02-12T18:00:00.000Z,2024-02-12T18:07:00.000Z,1,40
P000075,A000436,955,2024-02-12T18:00:00.000Z,2024-02-12T19:28:00.000Z,3,48
P000076,A000723,2577,2024-02-12T18:00:00.000Z,2024-02-12T20:29:00.000Z,3,8
P000077,A000053,239,2024-02-12T18:00:00.000Z,2024-02-12T18:39:00.000Z,3,34
P000078,A002119,3097,2024-02-12T18:00:00.000Z,2024-02-12T19:54:00.000Z,1,16
P000079,A000871,2426,2024-02-13T18:00:00.000Z,2024-02-13T20:04:00.000Z,2,28
P000080,A002483,54,2024-02-13T18:00:00.000Z,2024-02-13T19:32:00.000Z,1,27
P000081,A001136,238,2024-02-13T18:00:00.000Z,2024-02-13T20:46:00.000Z,2,51
P000082,A000768,726,2024-02-13T18:00:00.000Z,2024-02-13T19:49:00.000Z,3,38
P000083,A002559,452,2024-02-13T18:00:00.000Z,2024-02-13T20:34:00.000Z,1,32
P000084,A000244,280,2024-02-13T18:00:00.000Z,2024-02-13T21:52:00.000Z,3,40
P000085,A000851,591,2024-02-13T18:00:00.000Z,2024-02-13T20:36:00.000Z,2,18
P000086,A000196,354,2024-02-13T18:00:00.000Z,2024-02-13T19:47:00.000Z,3,48
P000087,A001608,1033,2024-02-13T18:00:00.000Z,2024-02-13T21:24:00.000Z,2,7
P000088,A002623,73,2024-02-14T18:00:00.000Z,2024-02-14T20:11:00.000Z,1,50
P000089,A000109,2414,2024-02-14T18:00:00.000Z,2024-02-14T20:33:00.000Z,3,30
P000090,A000661,2493,2024-02-14T18:00:00.000Z,2024-02-14T20:34:00.000Z,3,28
P000091,A002305,293,2024-02-14T18:00:00.000Z,2024-02-14T19:56:00.000Z,1,51
P000092,A002125,606,2024-02-14T18:00:00.000Z,2024-02-14T21:52:00.000Z,1,51
P000093,A000873,779,2024-02-15T18:00:00.000Z,2024-02-15T21:16:00.000Z,3,24
P000094,A001766,1048,2024-02-15T18:00:00.000Z,2024-02-15T18:27:00.000Z,2,14
P000095,A000280,1000,2024-02-15T18:00:00.000Z,2024-02-15T21:13:00.000Z,3,13
P000096,A000185,1332,2024-02-15T18:00:00.000Z,2024-02-15T19:59:00.000Z,3,15
P000097,A000303,1266,2024-02-15T18:00:00.000Z,2024-02-15T19:57:00.000Z,3,9
P000098,A000969,2443,2024-02-15T18:00:00.000Z,2024-02-15T21:35:00.000Z,2,14
P000099,A000782,3454,2024-02-15T18:00:00.000Z,2024-02-15T19:51:00.000Z,3,17
P000100,A002513,316,2024-02-15T18:00:00.000Z,2024-02-15T20:47:00.000Z,1,43
P000101,A000509,483,2024-02-15T18:00:00.000Z,2024-02-15T19:39:00.000Z,3,31
P000102,A001161,642,2024-02-15T18:00:00.000Z,2024-02-15T20:02:00.000Z,2,20
P000103,A002532,269,2024-02-15T18:00:00.000Z,2024-02-15T18:54:00.000Z,1,28
P000104,A001612,1014,2024-02-15T18:00:00.000Z,2024-02-15T21:07:00.000Z,2,48
P000105,A003371,1100,2024-03-01T18:00:00.000Z,2024-03-01T20:56:00.000Z,1,28
P000106,A002377,1043,2024-03-01T18:00:00.000Z,2024-03-01T19:12:00.000Z,2,40
P000107,A003142,182,2024-03-01T18:00:00.000Z,2024-03-01T19:30:00.000Z,1,38
P000108,A002970,4540,2024-03-01T18:00:00.000Z,2024-03-01T20:12:00.000Z,1,6
P000109,A001588,560,2024-03-01T18:00:00.000Z,2024-03-01T21:32:00.000Z,3,34
P000110,A001802,3001,2024-03-01T18:00:00.000Z,2024-03-01T19:09:00.000Z,3,9
P000111,A001612,935,2024-03-01T18:00:00.000Z,2024-03-01T20:22:00.000Z,3,48
P000112,A000324,694,2024-03-01T18:00:00.000Z,2024-03-01T20:32:00.000Z,4,17
P000113,A002187,2971,2024-03-01T18:00:00.000Z,2024-03-01T20:21:00.000Z,2,8
P000114,A003174,249,2024-03-02T18:00:00.000Z,2024-03-02T21:37:00.000Z,1,47
P000115,A001624,257,2024-03-02T18:00:00.000Z,2024-03-02T18:38:00.000Z,3,52
P000116,A001914,325,2024-03-02T18:00:00.000Z,2024-03-02T19:49:00.000Z,2,33
P000117,A000778,2225,2024-03-02T18:00:00.000Z,2024-03-02T18:55:00.000Z,4,26
P000118,A001428,571,2024-03-02T18:00:00.000Z,2024-03-02T21:00:00.000Z,3,46
P000119,A001386,215,2024-03-02T18:00:00.000Z,2024-03-02T18:03:00.000Z,3,52
P000120,A000052,1166,2024-03-02T18:00:00.000Z,2024-03-02T18:17:00.000Z,5,42
P000121,A002778,53,2024-03-02T18:00:00.000Z,2024-03-02T19:45:00.000Z,2,52
P000122,A002056,685,2024-03-02T18:00:00.000Z,2024-03-02T20:08:00.000Z,2,17
P000123,A001565,521,2024-03-02T18:00:00.000Z,2024-03-02T18:28:00.000Z,3,21
P000124,A001402,457,2024-03-03T18:00:00.000Z,2024-03-03T19:34:00.000Z,3,29
P000125,A001295,1820,2024-03-03T18:00:00.000Z,2024-03-03T20:59:00.000Z,3,34
P000126,A002367,61,2024-03-03T18:00:00.000Z,2024-03-03T19:36:00.000Z,2,26
P000127,A002802,891,2024-03-03T18:00:00.000Z,2024-03-03T18:26:00.000Z,2,42
P000128,A000152,844,2024-03-03T18:00:00.000Z,2024-03-03T20:23:00.000Z,4,35
P000129,A003314,2079,2024-03-03T18:00:00.000Z,2024-03-03T21:44:00.000Z,1,15
P000130,A000954,1914,2024-03-03T18:00:00.000Z,2024-03-03T18:02:00.000Z,4,41
P000131,A000537,708,2024-03-03T18:00:00.000Z,2024-03-03T20:52:00.000Z,4,12
P000132,A000364,416,2024-03-03T18:00:00.000Z,2024-03-03T18:15:00.000Z,4,46
P000133,A000441,643,2024-03-03T18:00:00.000Z,2024-03-03T20:13:00.000Z,4,34
P000134,A000120,9732,2024-03-03T18:00:00.000Z,2024-03-03T18:08:00.000Z,5,10
P000135,A003343,814,2024-03-03T18:00:00.000Z,2024-03-03T19:48:00.000Z,1,15
P000136,A001310,4146,2024-03-04T18:00:00.000Z,2024-03-04T20:40:00.000Z,3,18
P000137,A001862,237,2024-03-04T18:00:00.000Z,2024-03-04T20:31:00.000Z,3,21
P000138,A003046,444,2024-03-04T18:00:00.000Z,2024-03-04T20:20:00.000Z,1,34
P000139,A000502,13765,2024-03-04T18:00:00.000Z,2024-03-04T19:06:00.000Z,4,6
P000140,A000723,5279,2024-03-04T18:00:00.000Z,2024-03-04T21:23:00.000Z,4,8
P000141,A002880,320,2024-03-04T18:00:00.000Z,2024-03-04T19:20:00.000Z,2,14
P000142,A000733,813,2024-03-04T18:00:00.000Z,2024-03-04T20:57:00.000Z,4,36
P000143,A000260,2923,2024-03-04T18:00:00.000Z,2024-03-04T20:04:00.000Z,4,15
P000144,A001552,280,2024-03-04T18:00:00.000Z,2024-03-04T21:15:00.000Z,3,48
P000145,A001232,2742,2024-03-04T18:00:00.000Z,2024-03-04T21:43:00.000Z,3,29
P000146,A001508,351,2024-03-04T18:00:00.000Z,2024-03-04T21:55:00.000Z,3,13
P000147,A001398,554,2024-03-04T18:00:00.000Z,2024-03-04T20:03:00.000Z,3,40
P000148,A001531,417,2024-03-05T18:00:00.000Z,2024-03-05T18:08:00.000Z,3,42
P000149,A001532,1653,2024-03-05T18:00:00.000Z,2024-03-05T19:31:00.000Z,3,43
P000150,A000642,2032,2024-03-05T18:00:00.000Z,2024-03-05T21:11:00.000Z,4,8
P000151,A002273,5571,2024-03-05T18:00:00.000Z,2024-03-05T18:55:00.000Z,2,5
P000152,A002447,797,2024-03-05T18:00:00.000Z,2024-03-05T19:54:00.000Z,2,22
P000153,A002292,4806,2024-03-05T18:00:00.000Z,2024-03-05T18:32:00.000Z,2,10
P000154,A000979,1719,2024-03-05T18:00:00.000Z,2024-03-05T21:02:00.000Z,4,23
P000155,A003162,1656,2024-03-05T18:00:00.000Z,2024-03-05T20:29:00.000Z,1,26
P000156,A002705,1168,2024-03-05T18:00:00.000Z,2024-03-05T20:47:00.000Z,2,29
P000157,A003637,85,2024-03-05T18:00:00.000Z,2024-03-05T19:16:00.000Z,1,21
P000158,A001557,2614,2024-03-05T18:00:00.000Z,2024-03-05T20:08:00.000Z,3,17
P000159,A001815,174,2024-03-05T18:00:00.000Z,2024-03-05T20:37:00.000Z,3,47
P000160,A000613,2124,2024-03-05T18:00:00.000Z,2024-03-05T20:01:00.000Z,4,13
P000161,A000059,365,2024-03-05T18:00:00.000Z,2024-03-05T19:24:00.000Z,5,43
P000162,A002410,901,2024-03-05T18:00:00.000Z,2024-03-05T20:12:00.000Z,2,12
P000163,A001356,667,2024-03-06T18:00:00.000Z,2024-03-06T18:39:00.000Z,3,41
P000164,A000015,3524,2024-03-06T18:00:00.000Z,2024-03-06T18:53:00.000Z,5,33
P000165,A000303,1060,2024-03-06T18:00:00.000Z,2024-03-06T19:09:00.000Z,5,9
P000166,A000368,317,2024-03-06T18:00:00.000Z,2024-03-06T20:35:00.000Z,4,16
P000167,A001870,90,2024-03-06T18:00:00.000Z,2024-03-06T18:46:00.000Z,3,39
P000168,A000314,16352,2024-03-06T18:00:00.000Z,2024-03-06T19:34:00.000Z,5,5
P000169,A000056,1525,2024-03-06T18:00:00.000Z,2024-03-06T19:51:00.000Z,5,43
P000170,A002906,224,2024-03-07T18:00:00.000Z,2024-03-07T20:25:00.000Z,2,35
P000171,A003729,1975,2024-03-07T18:00:00.000Z,2024-03-07T21:13:00.000Z,1,18
P000172,A000637,955,2024-03-07T18:00:00.000Z,2024-03-07T20:36:00.000Z,4,12
P000173,A003955,1957,2024-03-07T18:00:00.000Z,2024-03-07T20:09:00.000Z,1,10
P000174,A000377,499,2024-03-07T18:00:00.000Z,2024-03-07T18:22:00.000Z,5,50
P000175,A002648,1781,2024-03-07T18:00:00.000Z,2024-03-07T18:38:00.000Z,2,6
P000176,A003106,243,2024-03-07T18:00:00.000Z,2024-03-07T18:37:00.000Z,1,38
P000177,A001943,171,2024-03-07T18:00:00.000Z,2024-03-07T20:41:00.000Z,3,47
P000178,A000411,13741,2024-03-08T18:00:00.000Z,2024-03-08T19:43:00.000Z,5,8
P000179,A000228,1213,2024-03-08T18:00:00.000Z,2024-03-08T20:05:00.000Z,5,21
P000180,A003740,67,2024-03-08T18:00:00.000Z,2024-03-08T20:41:00.000Z,1,50
P000181,A000487,2016,2024-03-08T18:00:00.000Z,2024-03-08T18:35:00.000Z,4,13
P000182,A003569,218,2024-03-08T18:00:00.000Z,2024-03-08T21:59:00.000Z,1,48
P000183,A003046,355,2024-03-08T18:00:00.000Z,2024-03-08T19:49:00.000Z,2,34
P000184,A001735,768,2024-03-08T18:00:00.000Z,2024-03-08T19:14:00.000Z,3,44
P000185,A001277,3880,2024-03-08T18:00:00.000Z,2024-03-08T18:26:00.000Z,4,12
P000186,A000114,403,2024-03-08T18:00:00.000Z,2024-03-08T19:18:00.000Z,5,24
P000187,A000554,2047,2024-03-08T18:00:00.000Z,2024-03-08T20:43:00.000Z,4,17
P000188,A003342,166,2024-03-08T18:00:00.000Z,2024-03-08T21:36:00.000Z,1,15
P000189,A001755,2486,2024-03-08T18:00:00.000Z,2024-03-08T21:29:00.000Z,3,11
P000190,A001949,464,2024-03-08T18:00:00.000Z,2024-03-08T20:33:00.000Z,3,27
P000191,A003129,3610,2024-03-09T18:00:00.000Z,2024-03-09T19:56:00.000Z,2,9
P000192,A000762,370,2024-03-09T18:00:00.000Z,2024-03-09T18:24:00.000Z,4,38
P000193,A000606,6416,2024-03-09T18:00:00.000Z,2024-03-09T21:19:00.000Z,4,15
P000194,A000114,568,2024-03-09T18:00:00.000Z,2024-03-09T19:36:00.000Z,5,24
P000195,A002584,234,2024-03-09T18:00:00.000Z,2024-03-09T21:45:00.000Z,2,19
P000196,A000617,933,2024-03-09T18:00:00.000Z,2024-03-09T19:54:00.000Z,4,48
P000197,A000074,666,2024-03-10T18:00:00.000Z,2024-03-10T19:43:00.000Z,5,41
P000198,A000216,1768,2024-03-10T18:00:00.000Z,2024-03-10T19:44:00.000Z,5,27
P000199,A004105,1032,2024-03-10T18:00:00.000Z,2024-03-10T18:21:00.000Z,1,32
P000200,A001862,315,2024-03-10T18:00:00.000Z,2024-03-10T19:49:00.000Z,3,21
P000201,A003382,1621,2024-03-10T18:00:00.000Z,2024-03-10T19:55:00.000Z,1,11
P000202,A003955,1762,2024-03-10T18:00:00.000Z,2024-03-10T21:02:00.000Z,1,10
P000203,A003159,919,2024-03-10T18:00:00.000Z,2024-03-10T21:33:00.000Z,2,51
P000204,A000196,160,2024-03-10T18:00:00.000Z,2024-03-10T19:02:00.000Z,5,48
P000205,A000673,195,2024-03-10T18:00:00.000Z,2024-03-10T19:24:00.000Z,4,40
P000206,A001049,634,2024-03-10T18:00:00.000Z,2024-03-10T18:39:00.000Z,4,26
P000207,A001051,2087,2024-03-11T18:00:00.000Z,2024-03-11T19:08:00.000Z,4,31
P000208,A002367,40,2024-03-11T18:00:00.000Z,2024-03-11T18:54:00.000Z,3,26
P000209,A002421,324,2024-03-11T18:00:00.000Z,2024-03-11T19:57:00.000Z,2,45
P000210,A000627,2819,2024-03-11T18:00:00.000Z,2024-03-11T19:54:00.000Z,4,8
P000211,A001470,1371,2024-03-11T18:00:00.000Z,2024-03-11T19:21:00.000Z,4,47
P000212,A002041,281,2024-03-11T18:00:00.000Z,2024-03-11T18:54:00.000Z,3,31
P000213,A002880,476,2024-03-11T18:00:00.000Z,2024-03-11T20:54:00.000Z,2,14
P000214,A003055,887,2024-03-11T18:00:00.000Z,2024-03-11T21:01:00.000Z,2,14
P000215,A001949,445,2024-03-11T18:00:00.000Z,2024-03-11T20:47:00.000Z,3,27
P000216,A004001,509,2024-03-12T18:00:00.000Z,2024-03-12T18:20:00.000Z,1,45
P000217,A003384,142,2024-03-12T18:00:00.000Z,2024-03-12T21:01:00.000Z,1,32
P000218,A001732,164,2024-03-12T18:00:00.000Z,2024-03-12T20:02:00.000Z,3,37
P000219,A001870,181,2024-03-12T18:00:00.000Z,2024-03-12T18:25:00.000Z,3,39
P000220,A000860,94,2024-03-12T18:00:00.000Z,2024-03-12T19:41:00.000Z,4,46
P000221,A004135,835,2024-03-12T18:00:00.000Z,2024-03-12T20:24:00.000Z,1,21
P000222,A004136,485,2024-03-12T18:00:00.000Z,2024-03-12T19:34:00.000Z,1,18
P000223,A002899,749,2024-03-12T18:00:00.000Z,2024-03-12T18:30:00.000Z,2,35
P000224,A003121,3845,2024-03-13T18:00:00.000Z,2024-03-13T21:34:00.000Z,2,9
P000225,A001904,2004,2024-03-13T18:00:00.000Z,2024-03-13T19:36:00.000Z,3,17
P000226,A002371,14885,2024-03-13T18:00:00.000Z,2024-03-13T21:54:00.000Z,3,5
P000227,A003729,1865,2024-03-13T18:00:00.000Z,2024-03-13T21:41:00.000Z,1,18
P000228,A003431,195,2024-03-13T18:00:00.000Z,2024-03-13T18:04:00.000Z,1,35
P000229,A004213,59,2024-03-13T18:00:00.000Z,2024-03-13T21:51:00.000Z,1,36
P000230,A002518,396,2024-03-13T18:00:00.000Z,2024-03-13T19:04:00.000Z,3,22
P000231,A000451,16991,2024-03-13T18:00:00.000Z,2024-03-13T18:30:00.000Z,5,6
P000232,A001501,604,2024-03-13T18:00:00.000Z,2024-03-13T21:15:00.000Z,4,39
P000233,A000613,2898,2024-03-13T18:00:00.000Z,2024-03-13T21:30:00.000Z,5,13
P000234,A000462,319,2024-03-13T18:00:00.000Z,2024-03-13T18:55:00.000Z,5,46
P000235,A003794,110,2024-03-14T18:00:00.000Z,2024-03-14T19:12:00.000Z,1,52
P000236,A003419,179,2024-03-14T18:00:00.000Z,2024-03-14T21:28:00.000Z,2,16
P000237,A002733,730,2024-03-14T18:00:00.000Z,2024-03-14T18:15:00.000Z,2,37
P000238,A001851,34,2024-03-14T18:00:00.000Z,2024-03-14T19:45:00.000Z,3,43
P000239,A002565,383,2024-03-14T18:00:00.000Z,2024-03-14T19:27:00.000Z,3,49
P000240,A003686,1931,2024-03-14T18:00:00.000Z,2024-03-14T19:42:00.000Z,1,20
P000241,A004306,1203,2024-03-14T18:00:00.000Z,2024-03-14T19:07:00.000Z,1,16
P000242,A002516,2131,2024-03-14T18:00:00.000Z,2024-03-14T21:51:00.000Z,3,21
P000243,A004123,1932,2024-03-14T18:00:00.000Z,2024-03-14T20:42:00.000Z,1,8
P000244,A004025,60,2024-03-14T18:00:00.000Z,2024-03-14T20:45:00.000Z,1,49
P000245,A001566,3993,2024-03-14T18:00:00.000Z,2024-03-14T21:59:00.000Z,4,7
P000246,A001822,184,2024-03-14T18:00:00.000Z,2024-03-14T19:41:00.000Z,3,16
P000247,A000624,1334,2024-03-15T18:00:00.000Z,2024-03-15T21:45:00.000Z,5,41
P000248,A004322,131,2024-03-15T18:00:00.000Z,2024-03-15T18:52:00.000Z,1,21
P000249,A000820,1376,2024-03-15T18:00:00.000Z,2024-03-15T21:45:00.000Z,5,35
P000250,A003025,1224,2024-03-15T18:00:00.000Z,2024-03-15T20:16:00.000Z,2,22
P000251,A000159,285,2024-03-15T18:00:00.000Z,2024-03-15T19:17:00.000Z,5,50
P000252,A004225,724,2024-03-15T18:00:00.000Z,2024-03-15T20:50:00.000Z,1,52
P000253,A000709,1004,2024-03-15T18:00:00.000Z,2024-03-15T21:11:00.000Z,5,42
P000254,A003747,2024,2024-03-15T18:00:00.000Z,2024-03-15T18:54:00.000Z,1,16
P000255,A000245,1110,2024-03-15T18:00:00.000Z,2024-03-15T20:15:00.000Z,5,33
P000256,A001870,138,2024-03-15T18:00:00.000Z,2024-03-15T19:28:00.000Z,3,39
P000257,A000109,2504,2024-03-15T18:00:00.000Z,2024-03-15T19:23:00.000Z,5,30
P000258,A001514,250,2024-04-01T18:00:00.000Z,2024-04-01T21:01:00.000Z,5,26
P000259,A000008,1516,2024-04-01T18:00:00.000Z,2024-04-01T20:58:00.000Z,7,48
P000260,A002370,823,2024-04-01T18:00:00.000Z,2024-04-01T20:15:00.000Z,4,25
P000261,A002371,15144,2024-04-01T18:00:00.000Z,2024-04-01T18:56:00.000Z,4,5
P000262,A000708,341,2024-04-01T18:00:00.000Z,2024-04-01T21:26:00.000Z,6,45
P000263,A003877,996,2024-04-01T18:00:00.000Z,2024-04-01T18:56:00.000Z,2,32
P000264,A000101,531,2024-04-01T18:00:00.000Z,2024-04-01T21:04:00.000Z,6,45
P000265,A001270,1395,2024-04-01T18:00:00.000Z,2024-04-01T21:17:00.000Z,5,15
P000266,A000921,113,2024-04-01T18:00:00.000Z,2024-04-01T21:50:00.000Z,6,48
P000267,A000930,962,2024-04-01T18:00:00.000Z,2024-04-01T21:22:00.000Z,6,49
P000268,A002419,187,2024-04-02T18:00:00.000Z,2024-04-02T20:05:00.000Z,4,8
P000269,A000525,36,2024-04-02T18:00:00.000Z,2024-04-02T20:14:00.000Z,6,45
P000270,A001464,1697,2024-04-02T18:00:00.000Z,2024-04-02T18:41:00.000Z,5,20
P000271,A004590,180,2024-04-02T18:00:00.000Z,2024-04-02T20:17:00.000Z,2,36
P000272,A005501,34,2024-04-02T18:00:00.000Z,2024-04-02T18:45:00.000Z,1,50
P000273,A001301,1210,2024-04-02T18:00:00.000Z,2024-04-02T22:00:00.000Z,5,45
P000274,A001307,355,2024-04-02T18:00:00.000Z,2024-04-02T21:06:00.000Z,5,39
P000275,A005187,212,2024-04-02T18:00:00.000Z,2024-04-02T18:22:00.000Z,1,30
P000276,A003739,1790,2024-04-02T18:00:00.000Z,2024-04-02T18:22:00.000Z,2,26
P000277,A000025,393,2024-04-02T18:00:00.000Z,2024-04-02T19:16:00.000Z,7,32
P000278,A005523,397,2024-04-02T18:00:00.000Z,2024-04-02T18:14:00.000Z,1,42
P000279,A005472,1701,2024-04-02T18:00:00.000Z,2024-04-02T19:01:00.000Z,1,23
P000280,A003958,3645,2024-04-02T18:00:00.000Z,2024-04-02T19:57:00.000Z,2,22
P000281,A000441,976,2024-04-02T18:00:00.000Z,2024-04-02T19:14:00.000Z,6,34
P000282,A004751,184,2024-04-02T18:00:00.000Z,2024-04-02T19:42:00.000Z,1,41
P000283,A000196,304,2024-04-02T18:00:00.000Z,2024-04-02T21:31:00.000Z,6,48
P000284,A002123,134,2024-04-02T18:00:00.000Z,2024-04-02T21:04:00.000Z,4,29
P000285,A004037,401,2024-04-03T18:00:00.000Z,2024-04-03T19:12:00.000Z,2,14
P000286,A000334,1001,2024-04-03T18:00:00.000Z,2024-04-03T21:49:00.000Z,6,33
P000287,A002076,549,2024-04-03T18:00:00.000Z,2024-04-03T21:39:00.000Z,4,19
