id,clientId,salary,requestedAmount,creditApproved,annualPercentageRate,periodsPerYear,periodsTotal,requestAt,approved,approvedAt,rejected,rejectedAt,reason
A000046,C1768,31217,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:05:00.000Z,NOT APPROVED
A000047,C1778,65634,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:32:00.000Z,NOT APPROVED
A000048,C1794,56169,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:22:00.000Z,NOT APPROVED
A000049,C1812,31955,31684,27792,0.12,24,28,2024-01-01T18:00:00.000Z,true,2024-01-01T19:04:00.000Z,false,null,null
A000050,C1814,12090,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:26:00.000Z,CLIENT REJECTS
A000051,C1824,10644,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:52:00.000Z,NOT APPROVED
A000052,C1825,48487,45377,38618,0.1,24,42,2024-01-01T18:00:00.000Z,true,2024-01-01T18:16:00.000Z,false,null,null
A000053,C1831,11805,7128,5878,0.15,24,34,2024-01-01T18:00:00.000Z,true,2024-01-01T19:00:00.000Z,false,null,null
A000054,C1834,20135,12546,12087,0.13,24,7,2024-01-01T18:00:00.000Z,true,2024-01-01T20:18:00.000Z,false,null,null
A000055,C1851,19009,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T21:12:00.000Z,NOT APPROVED
A000056,C1866,69132,62592,51516,0.12,24,43,2024-01-01T18:00:00.000Z,true,2024-01-01T19:29:00.000Z,false,null,null
A000057,C1883,11847,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:15:00.000Z,NOT APPROVED
A000058,C1893,49295,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:57:00.000Z,NOT APPROVED
A000059,C1903,28520,14226,12640,0.07,24,43,2024-01-01T18:00:00.000Z,true,2024-01-01T21:43:00.000Z,false,null,null
A000060,C1919,88457,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:21:00.000Z,NOT APPROVED
A000061,C1930,74026,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:18:00.000Z,NOT APPROVED
A000062,C1932,12903,6548,5820,0.15,24,20,2024-01-01T18:00:00.000Z,true,2024-01-01T19:36:00.000Z,false,null,null
A000063,C1935,50244,24695,21951,0.12,24,25,2024-01-01T18:00:00.000Z,true,2024-01-01T19:54:00.000Z,false,null,null
A000064,C1955,56173,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T21:05:00.000Z,NOT APPROVED
A000065,C1957,18131,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:16:00.000Z,NOT APPROVED
A000066,C1969,33573,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:14:00.000Z,NOT APPROVED
A000067,C1974,59966,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:36:00.000Z,NOT APPROVED
A000068,C1981,64905,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:43:00.000Z,NOT APPROVED
A000069,C1991,57698,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:04:00.000Z,NOT APPROVED
A000070,C1997,19786,16202,14509,0.08,24,35,2024-01-01T18:00:00.000Z,true,2024-01-01T20:07:00.000Z,false,null,null
A000071,C1998,75103,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:32:00.000Z,NOT APPROVED
A000072,C1014,11290,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:55:00.000Z,NOT APPROVED
A000073,C1030,56764,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:38:00.000Z,CLIENT REJECTS
A000074,C1034,33127,32869,29358,0.07,24,41,2024-01-02T18:00:00.000Z,true,2024-01-02T21:03:00.000Z,false,null,null
A000075,C1046,20578,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:34:00.000Z,NOT APPROVED
A000076,C1059,38556,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T20:45:00.000Z,CLIENT REJECTS
A000077,C1095,48459,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T20:27:00.000Z,NOT APPROVED
A000078,C1118,43430,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:35:00.000Z,NOT APPROVED
A000079,C1142,9441,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:09:00.000Z,NOT APPROVED
A000080,C1170,40506,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:25:00.000Z,NOT APPROVED
A000081,C1177,35118,15681,13489,0.15,24,26,2024-01-02T18:00:00.000Z,true,2024-01-02T20:24:00.000Z,false,null,null
A000082,C1185,81457,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:15:00.000Z,NOT APPROVED
A000083,C1228,30570,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:52:00.000Z,CLIENT REJECTS
A000084,C1229,22093,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:52:00.000Z,NOT APPROVED
A000085,C1238,41771,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:01:00.000Z,NOT APPROVED
A000086,C1243,63446,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:52:00.000Z,NOT APPROVED
A000087,C1245,34494,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:09:00.000Z,NOT APPROVED
A000088,C1247,65192,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:31:00.000Z,NOT APPROVED
A000089,C1288,9753,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:53:00.000Z,NOT APPROVED
A000090,C1340,8715,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:30:00.000Z,CLIENT REJECTS
A000091,C1360,57502,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:44:00.000Z,NOT APPROVED
A000092,C1407,43218,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T20:23:00.000Z,NOT APPROVED
A000093,C1417,13117,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:40:00.000Z,NOT APPROVED
A000094,C1432,10688,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:26:00.000Z,CLIENT REJECTS
A000095,C1439,10097,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:43:00.000Z,CLIENT REJECTS
A000096,C1483,47166,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T20:58:00.000Z,NOT APPROVED
A000097,C1497,21378,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:58:00.000Z,NOT APPROVED
A000098,C1501,28973,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:27:00.000Z,NOT APPROVED
A000099,C1527,60051,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T20:42:00.000Z,NOT APPROVED
A000100,C1532,64605,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:31:00.000Z,CLIENT REJECTS
A000101,C1535,49734,37996,31499,0.11,24,45,2024-01-02T18:00:00.000Z,true,2024-01-02T21:13:00.000Z,false,null,null
A000102,C1595,15257,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:43:00.000Z,NOT APPROVED
A000103,C1599,75458,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:41:00.000Z,CLIENT REJECTS
A000104,C1612,57641,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:11:00.000Z,CLIENT REJECTS
A000105,C1613,91270,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:36:00.000Z,NOT APPROVED
A000106,C1615,30255,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:42:00.000Z,NOT APPROVED
A000107,C1618,19780,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T20:23:00.000Z,NOT APPROVED
A000108,C1632,62329,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T20:24:00.000Z,NOT APPROVED
A000109,C1643,108444,82274,70020,0.14,24,30,2024-01-02T18:00:00.000Z,true,2024-01-02T20:42:00.000Z,false,null,null
A000110,C1690,43680,43583,42007,0.06,24,15,2024-01-02T18:00:00.000Z,true,2024-01-02T20:30:00.000Z,false,null,null
A000111,C1764,28855,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:26:00.000Z,NOT APPROVED
A000112,C1772,11999,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:10:00.000Z,NOT APPROVED
A000113,C1776,69311,66481,58487,0.08,24,41,2024-01-02T18:00:00.000Z,true,2024-01-02T18:01:00.000Z,false,null,null
A000114,C1777,17391,12337,11114,0.11,24,24,2024-01-02T18:00:00.000Z,true,2024-01-02T18:16:00.000Z,false,null,null
A000115,C1789,68538,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:21:00.000Z,NOT APPROVED
A000116,C1806,74169,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:32:00.000Z,NOT APPROVED
A000117,C1812,31955,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:47:00.000Z,CREDIT LIMIT EXCEED
A000118,C1816,8513,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:02:00.000Z,NOT APPROVED
A000119,C1821,87357,86082,84601,0.06,24,7,2024-01-02T18:00:00.000Z,true,2024-01-02T20:25:00.000Z,false,null,null
A000120,C1829,67548,50644,48618,0.1,24,10,2024-01-02T18:00:00.000Z,true,2024-01-02T21:40:00.000Z,false,null,null
A000121,C1844,57163,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T20:58:00.000Z,NOT APPROVED
A000122,C1861,23465,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:04:00.000Z,NOT APPROVED
A000123,C1873,11436,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T19:49:00.000Z,NOT APPROVED
A000124,C1879,22907,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:25:00.000Z,NOT APPROVED
A000125,C1912,8724,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T20:03:00.000Z,NOT APPROVED
A000126,C1925,11772,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T21:05:00.000Z,NOT APPROVED
A000127,C1931,36936,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:39:00.000Z,CLIENT REJECTS
A000128,C1950,47137,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:49:00.000Z,NOT APPROVED
A000129,C1952,20904,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:14:00.000Z,CLIENT REJECTS
A000130,C1953,17651,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T18:35:00.000Z,NOT APPROVED
A000131,C1978,33082,0,0,0,0,0,2024-01-02T18:00:00.000Z,false,null,true,2024-01-02T20:26:00.000Z,NOT APPROVED
A000132,C1986,48130,35992,31921,0.06,24,51,2024-01-02T18:00:00.000Z,true,2024-01-02T19:53:00.000Z,false,null,null
A000133,C1004,48144,21078,20563,0.1,24,6,2024-01-03T18:00:00.000Z,true,2024-01-03T19:44:00.000Z,false,null,null
A000134,C1013,72198,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:47:00.000Z,NOT APPROVED
A000135,C1015,44187,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:23:00.000Z,CLIENT REJECTS
A000136,C1019,31552,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:21:00.000Z,NOT APPROVED
A000137,C1032,45933,3144,2782,0.13,24,24,2024-01-03T18:00:00.000Z,true,2024-01-03T20:01:00.000Z,false,null,null
A000138,C1037,35622,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:19:00.000Z,CLIENT REJECTS
A000139,C1038,70846,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:02:00.000Z,NOT APPROVED
A000140,C1046,20578,13409,13146,0.08,24,6,2024-01-03T18:00:00.000Z,true,2024-01-03T21:27:00.000Z,false,null,null
A000141,C1059,38556,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:23:00.000Z,NOT APPROVED
A000142,C1075,31660,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:04:00.000Z,NOT APPROVED
A000143,C1086,45248,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:20:00.000Z,NOT APPROVED
A000144,C1094,45349,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:10:00.000Z,NOT APPROVED
A000145,C1095,48459,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:33:00.000Z,NOT APPROVED
A000146,C1100,27722,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T21:59:00.000Z,CLIENT REJECTS
A000147,C1109,60446,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:09:00.000Z,NOT APPROVED
A000148,C1127,23888,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:10:00.000Z,CLIENT REJECTS
A000149,C1157,72910,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:18:00.000Z,NOT APPROVED
A000150,C1159,48167,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:17:00.000Z,NOT APPROVED
A000151,C1172,39661,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:41:00.000Z,NOT APPROVED
A000152,C1189,47051,26979,22404,0.14,24,35,2024-01-03T18:00:00.000Z,true,2024-01-03T18:16:00.000Z,false,null,null
A000153,C1198,21497,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T21:59:00.000Z,NOT APPROVED
A000154,C1219,40871,30067,26726,0.15,24,20,2024-01-03T18:00:00.000Z,true,2024-01-03T21:16:00.000Z,false,null,null
A000155,C1224,39325,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:12:00.000Z,NOT APPROVED
A000156,C1228,30570,28818,27888,0.1,24,8,2024-01-03T18:00:00.000Z,true,2024-01-03T20:25:00.000Z,false,null,null
A000157,C1237,34571,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:21:00.000Z,NOT APPROVED
A000158,C1257,35486,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:44:00.000Z,NOT APPROVED
A000159,C1292,21268,13088,10831,0.1,24,50,2024-01-03T18:00:00.000Z,true,2024-01-03T20:27:00.000Z,false,null,null
A000160,C1298,40578,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:02:00.000Z,CLIENT REJECTS
A000161,C1302,32439,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:42:00.000Z,CLIENT REJECTS
A000162,C1303,17232,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:32:00.000Z,NOT APPROVED
A000163,C1307,43389,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:44:00.000Z,NOT APPROVED
A000164,C1314,50811,38431,35584,0.06,24,32,2024-01-03T18:00:00.000Z,true,2024-01-03T21:24:00.000Z,false,null,null
A000165,C1322,10282,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:07:00.000Z,NOT APPROVED
A000166,C1326,40400,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T21:05:00.000Z,NOT APPROVED
A000167,C1336,12974,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:04:00.000Z,NOT APPROVED
A000168,C1349,69607,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T21:30:00.000Z,NOT APPROVED
A000169,C1357,28755,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:28:00.000Z,NOT APPROVED
A000170,C1369,62838,51771,48497,0.06,24,27,2024-01-03T18:00:00.000Z,true,2024-01-03T18:35:00.000Z,false,null,null
A000171,C1401,38090,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:33:00.000Z,NOT APPROVED
A000172,C1439,10097,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:30:00.000Z,NOT APPROVED
A000173,C1475,65211,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:38:00.000Z,NOT APPROVED
A000174,C1478,70682,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:38:00.000Z,NOT APPROVED
A000175,C1480,49683,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:14:00.000Z,NOT APPROVED
A000176,C1487,55558,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:39:00.000Z,NOT APPROVED
A000177,C1489,51555,38125,33838,0.08,24,38,2024-01-03T18:00:00.000Z,true,2024-01-03T21:12:00.000Z,false,null,null
A000178,C1493,26231,24337,23288,0.06,24,18,2024-01-03T18:00:00.000Z,true,2024-01-03T19:34:00.000Z,false,null,null
A000179,C1524,48835,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:30:00.000Z,NOT APPROVED
A000180,C1533,87079,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:39:00.000Z,NOT APPROVED
A000181,C1550,14130,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T21:52:00.000Z,NOT APPROVED
A000182,C1575,24867,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:45:00.000Z,NOT APPROVED
A000183,C1576,47812,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:22:00.000Z,NOT APPROVED
A000184,C1582,21485,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:34:00.000Z,NOT APPROVED
A000185,C1594,36104,22557,20623,0.15,24,15,2024-01-03T18:00:00.000Z,true,2024-01-03T19:41:00.000Z,false,null,null
A000186,C1601,45868,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:53:00.000Z,NOT APPROVED
A000187,C1632,62329,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:11:00.000Z,NOT APPROVED
A000188,C1635,31437,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:14:00.000Z,CLIENT REJECTS
A000189,C1645,26382,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T21:27:00.000Z,NOT APPROVED
A000190,C1656,84178,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:48:00.000Z,NOT APPROVED
A000191,C1668,50896,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:23:00.000Z,NOT APPROVED
A000192,C1692,84741,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T20:01:00.000Z,NOT APPROVED
A000193,C1695,53755,8779,6908,0.13,24,50,2024-01-03T18:00:00.000Z,true,2024-01-03T20:51:00.000Z,false,null,null
A000194,C1710,12716,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T18:20:00.000Z,NOT APPROVED
A000195,C1768,31217,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T21:34:00.000Z,NOT APPROVED
A000196,C1771,25591,13584,10612,0.14,24,48,2024-01-03T18:00:00.000Z,true,2024-01-03T18:55:00.000Z,false,null,null
A000197,C1813,59549,46069,39263,0.13,24,32,2024-01-03T18:00:00.000Z,true,2024-01-03T19:59:00.000Z,false,null,null
A000198,C1845,74703,59376,48470,0.12,24,45,2024-01-03T18:00:00.000Z,true,2024-01-03T18:12:00.000Z,false,null,null
A000199,C1864,22415,0,0,0,0,0,2024-01-03T18:00:00.000Z,false,null,true,2024-01-03T19:12:00.000Z,CLIENT REJECTS
